Front;Back
area;местность
beautiful;красивый
big;большой
building;здание
busy;занятый
cheap;дешевый
cinema;кинотеатр
cold;холодный
crime;преступление
day;день
dirty;грязный
easy;легкий
expensive;дорогой
famous;знаменитый
house;дом
little;маленький
love;любить
magazine;журнал
month;месяц
problem;проблема
quiet;тихий
relax;расслабляться
safe;безопасный
sea;море
shopping;шопинг
small;маленький
summer;лето
swimming;плавание
town;небольшой город
visit;посещать
walk;гулять
winter;зима
work;работа
commit a crime;совершить преступление
do the shopping;делать покупки
swimming pool;бассейн
swimming costume;купальник
go for a walk;идти на прогулку
