Front;Back
airport;аэропорт
beach;пляж
businesswoman;деловая женщина
church;церковь
countryside;сельская местность
factory;фабрика
government;правительство
mosque;мечеть
museum;музей
nurse;медсестра
office;офис
police officer;полицейский
river;река
shop assistant;продавец
traffic;дорожное движение
university;университет
waiter;официант
busy airport;оживленный аэропорт
play on a beach;играть на пляже
sit on a beach;сидеть на пляже
church service;церковная служба
open countryside;открытая местность
unspoilt countryside;нетронутая природа
heavy traffic;интенсивное движение
traffic lights;светофор
traffic jam;пробка
