Front;Back
boring;скучный
businessman;бизнесмен
city;город
hot;горячий
north;север
receptionist;администратор
surname;фамилия
west;запад
successful businessman;успешный бизнесмен
be late for something;опаздывать куда-то
work hard;усердно работать
hard work;трудная работа
middle;середина
student;студент
work;работать
capital city;столица
capital;столица
country;страна
east;восток
granddad;дедушка
know;знать
late;поздний, опоздавший
name;имя
parent;родитель
part;часть
place;место
south;юг
first name;имя
