Front;Back
area;местность
beautiful;красивый
big;большой
building;здание
busy;занятый
cheap;дешевый
cinema;кинотеатр
cold;холодный
crime;преступление
day;день
dirty;грязный
easy;легкий
expensive;дорогой
famous;знаменитый
house;дом
little;маленький
love;любить
magazine;журнал
month;месяц
problem;проблема
quiet;тихий
relax;расслабляться
safe;безопасный
sea;море
shopping;шопинг
small;маленький
summer;лето
swimming;плавание
town;небольшой город
visit;посещать
walk;гулять
winter;зима
work;работа
commit a crime;совершить преступление
do the shopping;делать покупки
swimming pool;бассейн
swimming costume;купальник
go for a walk;идти на прогулку
bad;плохой
become;становиться
cathedral;собор
civil servant;госслужащий
clinic;клиника
clothes;одежда
company;компания
department;отдел
designer;дизайнер
different;разный
enjoy;наслаждаться
free time;свободное время
get up;вставать
go out;выходить в свет
go to bed;ложиться спать
great;великолепный
home;дом
interesting;интересный
job;работа
journalist;журналист
language;язык
like;нравиться
live;жить
local;местный
long hours;сверхурочная работа
money;деньги
newspaper;газета
nice;милый
night;ночь
people;люди
police station;полицейский участок
sleep;спать
speak;разговаривать
studio;студия
tax;налог
want;хотеть
workplace;рабочее место
difference between;разница между
at home;дома
be interested in;быть заинтересованным в
speak to someone;разговаривать с
boring;скучный
businessman;бизнесмен
capital city;столица
city;город
capital;столица
country;страна
east;восток
granddad;дедушка
hot;горячий
know;знать
late;поздний, опоздавший
middle;середина
name;имя
north;север
parent;родитель
part;часть
place;место
receptionist;администратор
south;юг
student;студент
surname;фамилия
