Front;Back
teacher;учитель
businesswoman;женщина предприниматель
a successful businesswoman;успешный бизнесмен (женщина)
nurse;медсестра, медбрат
a police officer;полицейский
shop assistant;продавец-консультант
waiter;официант
waitress;официантка
receptionist;администратор
student;студент
granddad;дедуля
grandma;бабуля
parent;родитель
a boring place;скучное место
a nice place for a holiday;приятное место для отпуска
at the airport;в аэропорту (на территории аэропорта)
a busy airport;оживленный аэропорт (загруженный)
university;университет
go to university;учиться в университете
a university student;студент университета
church;церковь
a church service;церковная служба
mosque;мечеть
museum;музей
the museum is free;музей бесплатный
factory;фабрика (завод)
a car factory;автомобильный завод
government;правительство
office;офис
a big office block;большое офисное здание
Can you come into my office?;можешь зайти в мой кабинет?
beach;пляж
river;река
swim in the river;плавать в реке
countryside;сельская местность, пригород
live in the countryside;жить за городом (в деревне, в сельской местности)
traffic;траффик (поток, движение)
heavy traffic;напряженный траффик
a traffic jam;пробка на дороге
traffic lights;светофор
part of the world;часть света
in the north;на севере
in the south;на юге
in the east;на востоке
in the west;на западе
middle;середина
capital;столица
the capital of Japan;столица Японии
know;знать
nobody knows;никто не знает
who knows;кто знает?
work;работать
work as a waitress;работать официантом
work hard;усердно трудиться
late;поздно
I'm late for the meeting;я опаздываю на встречу
I'm late for classes;я опаздываю на уроки
