Front;Back
to build (built, built);строить
to go to the doctor's for a check-up;проходить осмотр у доктора
to go for a walk;идти на прогулку
go for a run;пойти на пробежку
do some shopping;делать покупки
clock;часы
to destroy;разрушать
fishing;рыбалка
to grow;расти
library;библиотека
lose (lost, lost);терять
lottery;лотерея
to marry;жениться
get married;пожениться
marriage;брак (супружество)
to move;переезжать
to provide;обеспечивать
romantic;романтичный
to save;сохранять
win (won, won);побеждать
to arrange;организовывать
blog;блог
client;клиент
date;свидание
doctor;врач
ill;больной
illness;болезнь
keep (kept,kept);хранить
plan;план
presentation;презентация
serious;серьезный
abroad;за границей
accident;авария
actor;актер
actress;актриса
to act;действовать
acting;актерская игра
competition;соревнование
to compete;соревноваться
competitor;конкурент
divorce sb;развестись с кем-то
instrument;инструмент
motorbike;мотоцикл
to own;владеть
rich;богатый
